What is the name of the dog you would like to submit a response for?,What is the gender of {{field:dog_name}},Do you know the age of {{field:dog_name}}?,Please enter the age of {{field:dog_name}} in months:,Did you acquire {{field:dog_name}} between 2 and 6 months?,Did {{field:dog_name}} attend puppy training classes between 2 and 6 months?,What style of training was taught to you and {{field:dog_name}} during class?,Where was puppy training offered?,Did {{field:dog_name}} attend any training classes after 6 months of age?,What style of training was used?,Who trained you and {{field:dog_name}}?,At what age did you complete training {{field:dog_name}}?,Is there at least one situation in which {{field:dog_name}} behaves aggressively?,Who or what has {{field:dog_name}} acted aggressively toward?,Is there at least one situation in which {{field:dog_name}} is fearful or anxious?,What sort of fears and/or anxiety has {{field:dog_name}} had?,Do you consider {{field:dog_name}} to have a problem with jumping up on people?,Who does {{field:dog_name}} jumped up on?,Does {{field:dog_name}} bark excessively?,When has {{field:dog_name}} excessively barked?,Has {{field:dog_name}} ever eaten feces?,What type of feces has {{field:dog_name}} eaten?,Has {{field:dog_name}} ever had any repetitive behaviors?,What sort of repetitive behaviors have you seen with {{field:dog_name}}?,Have you ever had a problem with {{field:dog_name}} soiling in the house?,When has {{field:dog_name}} soiled in the house?,How has {{field:dog_name}} soiled in the house?,Where has {{field:dog_name}} soiled in the house?,Has {{field:dog_name}} ever rolled in repulsive material?,In what repulsive material has {{field:dog_name}} rolled?,Do you consider{{field:dog_name}} to be overactive/hyperactive?,In what ways has {{field:dog_name}} been overactive/hyperactive?,Has {{field:dog_name}} ever exhibited destructive behavior in the home (other than puppy chewing behavior)?,When has {{field:dog_name}} been destructive?,Has {{field:dog_name}} ever run away/escaped?,Which of the following describes how {{field:dog_name}} has run away/escaped?,Have you ever had a problem with {{field:dog_name}} mounting/humping?,Who or what has {{field:dog_name}} mounted/humped?,Would you like to enter information for another dog you own?,id,msg,list,sep,Submitted At,Token
Clemmie,Female,Yes,13.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,6 to 18 months (adolescence),False,,False,,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,True,de95830523d38ad98317b95af152c974,,, ,5/15/2020 17:00:29,u39sq006e677jex2ytv028u39sq007ba
Dharma,Female,Yes,134.0,False,No,,,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,"6 to 18 months (adolescence), Continue to practice and use training skills in home",True,"Unfamiliar dogs in the home, Animals other than dogs",True,"Fear of crowds, Fear of veterinary visits, Fear of thunderstorms, Fear of other dogs",False,,False,,True,"Their own feces, The feces of other animals",False,,False,,,,True,Dead stuff,False,,True,"Owner is present, Owner is away",False,,False,,False,b36fa3d2ed995a190cdce6fe1cb4c102,,, ,5/15/2020 17:01:00,fsu4nuhzurz3nw3p1itbse4fsu4nuhzz
Noodle,Female,Yes,14.0,False,No,,,No,,,,False,,True,"Fear of other dogs, Separation anxiety, Travel anxiety",False,,False,,False,,False,,True,Forgot to let her out to the yard,Both feces and urine,Specific locations,False,,False,,False,,False,,False,,False,1817714baf0165ad6f41209678568521,,, ,5/15/2020 17:01:28,vwj6wgwoj9t9cl970ezrlvwj6wl8s6tk
Bear,Male,Yes,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,71297466aa88abc7c7bb28c9bf2292d5,,, ,5/15/2020 16:58:47,0we23i67prbf7z8aeu00we23mppxm2t2
Zoe Moo,Female,Yes,120.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,"Veterinarians, Strangers away from the home, Strangers visiting the home",True,Fear of veterinary visits,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,True,28d335c4b9b2a0624ceba9e0b881ab4b,,, ,5/15/2020 17:01:49,2fuela3l6m7kkeza2fue5m2y3g0400sr
Ranger,Male,Yes,108.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,False,,False,,False,,False,,False,,False,,False,,,,True,"Dead stuff, Feces",False,,False,,False,,False,,True,8dccf8ba14b475c5e8e86b9afe44d90b,,, ,5/15/2020 17:00:43,9hmyr1y2t3j9uispkg9hmyrdt2f8rfre
Cody,Male,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,ec4a08f59d3aebb9eb5089265150e06d,,, ,5/15/2020 17:00:12,hvmprc76ndl4jnrqdcvh4thvmprc769g
Buddy,Male,Yes,64.0,True,No,,,No,,,,False,,False,,False,,False,,False,,False,,True,Owners are away,Both feces and urine,Specific locations,False,,False,,False,,False,,False,,False,6a19ab0ecb9ad292cdf4ecb051757833,,, ,5/15/2020 17:02:42,cba4t5s4mc1aos9y9scbacz30o3wo20x
Fiona,Female,Yes,96.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,6 to 18 months (adolescence),False,,True,"Generalized anxiety, Fear of noises, Separation anxiety, Fear of crowds",True,Familiar people,False,,False,,True,"Licking of the wrist/hock, Nail biting",True,"Owners are present, Owners are away",Both feces and urine,Specific locations,True,Dead stuff,False,,False,,True,Escaped when out,False,,False,ec4a08f59d3aebb9eb5089265150e06d,We have submissions for:,,", ",5/15/2020 17:03:36,k43o4632sk4s0z2s4icrk43o4vq8hhan
Raleigh,Male,Yes,120.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Strangers visiting the home, Veterinarians",True,"Fear of veterinary visits, Fear of crowds, Fear of other dogs, Travel anxiety",False,,False,,False,,True,Running in geometric patterns,False,,,,True,Dead stuff,False,,False,,False,,True,"Familiar dogs, Unfamiliar dogs",True,3afe6bfd50a72bdd02eebfcbdc710645,,, ,5/15/2020 17:06:22,hwvmlr2zhrvmwhwvmlfuu36kbvb56a9o
Ziva,Female,Yes,86.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,True,"If the smoke detector goes off, she is terrified",False,,False,,False,,False,,False,,,,False,,False,,True,Owner is present,False,,True,People,True,e868d9170e83c46ea09be0d691df1292,,, ,5/15/2020 17:03:55,gwbp76few4kgsoud2pg1gwbp760bwa2a
Huckleberry,Male,Yes,156.0,False,No,,,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,"Continue to practice and use training skills in home, Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,True,"Fear of thunderstorms, Generalized anxiety",False,,True,"At triggers (outside), To get attention, Owners are present",True,The feces of other animals,False,,False,,,,True,Dead stuff,False,,False,,True,"Returns home after escape, Escaped when out",False,,False,8dccf8ba14b475c5e8e86b9afe44d90b,We have submissions for:,,", ",5/15/2020 17:04:13,hmyrsn166j519qxi1i0hmyrs90xph0cs
Sammie,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,585fb176207bf406521657a205455563,,, ,5/15/2020 17:01:20,2evogj9is47kfdwvrs2evogjr15zqjgz
Danny,Male,Yes,60.0,True,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,False,,True,Stangers,False,,False,,False,,False,,,,False,,True,"Impulsiveness, Easily distracted",False,,False,,True,Familiar dogs,False,f2f98c84625ac18739e0ab23e241bb07,,, ,5/15/2020 17:04:48,9hvuyzhzq0a7n5ua9hvu17z02t8c9nvr
Teddy,Male,Yes,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,540d6fda34efabfcd168a44170a7121e,,, ,5/15/2020 17:01:22,3f343bmspt9v91bqg3f343874hkg2v5w
Winnie,Female,Yes,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,de95830523d38ad98317b95af152c974,We have submissions for:,,", ",5/15/2020 17:01:34,plly10g150vmduuzuplly10movf49opx
Kasumi,Female,Yes,39.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,6 to 18 months (adolescence),False,,False,,False,,False,,True,Horse and rabbit ,False,,True,At night doesn't always hold bladder ,Urine,Specific locations,False,,False,,False,,True,Escaped when out,False,,False,c055f95ce0e7445378871055c0522291,,, ,5/15/2020 17:05:47,5hhi6bmps8f689yz5hhitq70v66tp9vj
Grail,Male,Yes,400.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to practice and use training skills in home, Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,True,Stairs,False,,False,,False,,False,,False,,,,False,,True,"Impulsiveness, Constant moving/jumping",False,,False,,False,,True,30f24317ad30eb964fd7d4c0b9053a5f,We have submissions for:,,", ",5/15/2020 17:04:28,voi6fyi6yv5voik45yji2e9d19n6bbxf
Violet,Female,Yes,72.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,False,,False,,False,,False,,False,,False,,True,"Owners are present, Owners are away","Feces, Urine, Both feces and urine",Anywhere,True,Urine,False,,False,,False,,False,,True,28d335c4b9b2a0624ceba9e0b881ab4b,We have submissions for:,,", ",5/15/2020 17:04:50,us997eec3hq0h7l0p9cus99gm3h2vrwh
Dax,Male,Yes,137.0,False,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,Unfamiliar dogs away from the home,True,"Fear of noises, Fear of thunderstorms",False,,False,,False,,False,,False,,,,False,,False,,False,,True,Returns home after escape,False,,False,1cd39f031b15f6d7d5ceb101c2255787,,, ,5/15/2020 17:06:57,k9t5e2m4bdxnnlvqvsgwak9t5e9depn3
Paxton,Male,Yes,144.0,True,No,,,No,,,,True,Familiar dogs in the home,False,,False,,True,"At triggers (inside), At triggers (outside), Owners are present, To get attention, During car rides",True,"Their own feces, Dog feces other than their own",True,Licking items in the house,False,,,,True,"Urine, Feces",False,,False,,False,,True,Familiar dogs,True,311e9098bf4d07c088cbe567b421e180,,, ,5/15/2020 17:07:34,u4j3j2czaqp7geu4j3anxq01p7w58zsb
Maggie,Female,Yes,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,78012635b90d1b8acb1e7d01a153e274,,, ,5/15/2020 17:03:23,1x51tmhhq21x51w6619sgnbvrqyw18jb
Squirt,Male,Yes,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,78012635b90d1b8acb1e7d01a153e274,We have submissions for:,,", ",5/15/2020 17:05:02,2s1oern2em0rm8v2s1oeilhat9qn0bdt
Gabe,Male,Yes,13.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,False,,True,"Owners, Familiar people, Stangers",False,,False,,False,,False,,,,False,,False,,False,,False,,True,"People, Familiar dogs, Inanimate objects",False,e868d9170e83c46ea09be0d691df1292,We have submissions for:,,", ",5/15/2020 17:05:59,tt321ae84mdqnfntt321kzx9fq57pogp
Sam,Male,Yes,12.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,"Continue to practice and use training skills in home, Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,"Strangers visiting the home, Strangers away from the home, Unfamiliar dogs away from the home",True,"Fear of noises, Fear of veterinary visits, Fear of thunderstorms, Generalized anxiety",False,,True,"At triggers (inside), At triggers (outside)",False,,True,"Licking of the wrist/hock, Tennis ball fetish",False,,,,False,,True,"Difficulty settling, Constant moving/jumping, Easily distracted",False,,False,,False,,True,0e671b813e12d37ef8f046e0707c4587,,, ,5/15/2020 17:08:22,52t9g9yiyes7g0u5yue0495jn52t9g9y
Atos,Male,Yes,132.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1b7314dd757b24d52891b00e79322374,,, ,5/15/2020 17:05:11,3sy11hdw1h4lcv3f483sy11h1mtnv5a9
Rufus,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,fc8c9b0ec0cc33176b25da8bdd779d95,,, ,5/15/2020 17:04:40,moaq0fpsnq6d62fuq2zrxmoaq0pph6ff
Custard,Female,Yes,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,a389ed6bc732733bf7c5b28c4d265041,,, ,5/15/2020 17:04:39,74894b5cky2j4sfyxm7489gfs4tvakke
Prophet,Male,Yes,17.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,False,,True,"Owners, Familiar people, Stangers",True,"To get attention, During car rides, Owners are present, Owners are away",False,,False,,False,,,,False,,True,"Difficulty settling, Constant moving/jumping, Impulsiveness",False,,False,,False,,False,30f24317ad30eb964fd7d4c0b9053a5f,We have submissions for:,,", ",5/15/2020 17:06:35,qtdj78n9rwv7vs2qtd66pj1ypnzpcvjn
Edward,Male,Yes,155.0,True,No,,,No,,,,True,"Unfamiliar dogs away from the home, Familiar dogs in the home",True,Fear of veterinary visits,False,,True,"To get attention, Owners are present, At triggers (outside), At triggers (inside)",True,"Dog feces other than their own, The feces of other animals",True,"Licking of the wrist/hock, Sucking flank regions/blankets",True,Owners are away,Feces,Specific locations,False,,False,,False,,True,Escapes from home,True,Familiar dogs,True,a389ed6bc732733bf7c5b28c4d265041,We have submissions for:,,", ",5/15/2020 17:07:18,iipchs4gye7oimaxu2iipchdpf4o2akz
Blue,Male,Yes,60.0,False,I don't know,,,No,,,,True,Unfamiliar dogs in the home,True,"Fear of noises, Fear of thunderstorms",False,,True,"At triggers (inside), Owners are present",False,,False,,True,"Owners are present, Owners are away, Exited/overwhelmed",Urine,Anywhere,False,,False,,False,,True,"Returns home after escape, Escaped when out",False,,False,28d335c4b9b2a0624ceba9e0b881ab4b,We have submissions for:,,", ",5/15/2020 17:07:10,1m5fw2spqpa8q3dd31m5dyiudqwjen8a
Vette,Male,Yes,15.0,True,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,Yes,Discipline based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,Strangers visiting the home,False,,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,True,78012635b90d1b8acb1e7d01a153e274,We have submissions for:,,", ",5/15/2020 17:08:41,mee8blprmi1qip0drkmee8b7jax32mas
Emmitt,Male,Yes,84.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,"6 to 18 months (adolescence), Continue to practice and use training skills in home",True,"Strangers away from the home, Familiar dogs away from the home, Familiar dogs in the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home",True,Fear of thunderstorms,False,,True,"At triggers (outside), At triggers (inside)",False,,False,,False,,,,True,Garbage,False,,False,,False,,True,People,False,576d753018bb9b6811d7a4559148cf98,,, ,5/15/2020 17:09:28,5c46ly4pvd4m6tsqlxxm5c46ly5e50ks
Alfie,Male,Yes,105.0,False,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,Strangers visiting the home,True,Fear of thunderstorms,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,True,cda4a3f11b516f6923b5a6710f0e8eee,,, ,5/15/2020 17:10:39,w4x31p0m7mfxie8u92jw4x31p0mli374
Riddick,Male,Yes,23.0,False,I don't know,,,No,,,,False,,True,"Fear of crowds, Fear of veterinary visits, Separation anxiety, Generalized anxiety, Fear of noises",False,,False,,False,,True,Tail chasing,True,"Owners are present, Owners are away, Exited/overwhelmed",Both feces and urine,Anywhere,True,Garbage,False,,True,"Owner is away, Owner is present",False,,False,,True,3afe6bfd50a72bdd02eebfcbdc710645,We have submissions for:,,", ",5/15/2020 17:10:53,w75lko6axb0nkow75lu06k0screjn3ug
Notorious,Male,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,a389ed6bc732733bf7c5b28c4d265041,We have submissions for:,,", ",5/15/2020 17:07:35,z3iobc7c5vd3epv98iz3io8x1acx4o81
Sebastian,Male,Yes,52.0,False,I don't know,,,No,,,,True,"Groomers, Strangers away from the home",True,ear drops and cleaning bottom,True,"Owners, Familiar people",True,"At triggers (outside), Owners are present, Owners are away",False,,False,,True,at night,Both feces and urine,Specific locations,False,,False,,False,,False,,False,,True,a81fbb71968c621a641752aa8989ad1e,,, ,5/15/2020 17:22:32,4scej1m4v7mbyj1gm2q4scejgzcgpxqe
Maddox,Male,Yes,60.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,True,"Fear of noises, Fear of Fireworks and fear of the dark",True,"Familiar people, Owners, Stangers",False,,False,,True,Excessive licking of private and testicular area,False,,,,False,,True,"Impulsiveness, Easily distracted",False,,True,Escapes from home,False,,False,311e9098bf4d07c088cbe567b421e180,We have submissions for:,,", ",5/15/2020 17:12:18,fgf583m22zft3fgf58z83r8274ecy5zp
Penny,Female,Yes,140.0,False,I don't know,,,Yes,Mixed balance of both reward and discipline,Hired in home private trainer,"Continue to practice and use training skills in home, Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,"Unfamiliar dogs away from the home, Animals other than dogs",True,"Fear of veterinary visits, Fear of noises, Fear of thunderstorms, Separation anxiety",False,,False,,True,The feces of other animals,False,,False,,,,False,,False,,False,,True,Escapes from confinement,False,,False,6a51cbdb9cbdea498dbed6aa77f96ad2,,, ,5/15/2020 17:11:31,94ls6mxljnopeqs6u3m94ls6w0a5tukl
Jerry,Male,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,65507365d81c421a7b724e42a1f7b01b,,, ,5/15/2020 17:08:34,6viirn602xsm39au976viirn6jxt47s5
Roger,Male,Yes,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0e671b813e12d37ef8f046e0707c4587,We have submissions for:,,", ",5/15/2020 17:08:48,xy2bq44z6nyrte851xy2osvnsswyx07g
Squirt,Male,Yes,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,78012635b90d1b8acb1e7d01a153e274,We have submissions for:,,", ",5/15/2020 17:09:28,xwddkzphkyco5xw4ylykg0luxjah8771
Gypsy,Female,Yes,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,663e902682939a8f36f5a75647b7ce69,,, ,5/15/2020 17:10:06,0vxzv7rdzq76r3xlkd7xgf0vxzvrwoj9
Maggie,Female,Yes,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,78012635b90d1b8acb1e7d01a153e274,We have submissions for:,,", ",5/15/2020 17:10:57,g9zb62zonbuqf5tgos2g9zb6ze8yszsb
Buckwheat,Female,Yes,114.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,"18-36 months (social maturity), Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Strangers visiting the home, Strangers away from the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs",True,"Fear of crowds, Fear of veterinary visits, Fear of noises, Fear of thunderstorms, Fear of other dogs, Fear of animals other than dogs, Separation anxiety, Travel anxiety, Generalized anxiety, Post-traumatic Stress Disorder (PTSD)",False,,True,"At triggers (inside), At triggers (outside), Owners are present",True,"Their own feces, The feces of other animals",True,Licking of the wrist/hock,True,"Owners are present, Owners are away","Feces, Urine, Both feces and urine",Anywhere,True,"Urine, Feces, Garbage, Dead stuff",False,,False,,True,"Escapes from home, Escaped when out, Escapes from confinement",False,,False,7c08e2fadfe9659edfd79e3617fd9ead,,, ,5/15/2020 17:13:05,2owtag55uslzq0a3zmnj2owtags8h8b3
Bravo,Male,Yes,216.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,"Myself/family member attended group classes, Hired in home private trainer","Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Strangers visiting the home, Strangers away from the home, Familiar dogs in the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home",True,"Fear of other dogs, Generalized anxiety",False,,False,,False,,False,,False,,,,False,,False,,True,Owner is away,False,,False,,True,0ca0e46ff442269a449e23b7e3422ec7,,, ,5/15/2020 17:13:21,tscdon7iff5t67sbqtscdonfmw7z8j6l
Shep,Male,Yes,57.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,False,,True,Fear of thunderstorms,False,,False,,True,The feces of other animals,False,,False,,,,False,,False,,False,,False,,False,,True,cda4a3f11b516f6923b5a6710f0e8eee,We have submissions for:,,", ",5/15/2020 17:12:52,rc1lqjn0v8wufk34y049prc1lqjy50le
Rayne,Male,Yes,42.0,False,No,,,No,,,,True,Familiar people in the home,False,,False,,False,,True,Dog feces other than their own,False,,False,,,,True,"Garbage, Dead stuff",False,,False,,False,,False,,False,3afe6bfd50a72bdd02eebfcbdc710645,We have submissions for:,,", ",5/15/2020 17:14:07,e9v6w3ccm20sl8nbce9v6w3phasmebr2
Wasabi,Female,Yes,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,e433eb53c23affcc3e4e2256fd59ba87,,, ,5/15/2020 17:11:32,k0d28f0o63d5xajm9k0dvidqe0hyhpp2
Scout,Female,Yes,75.0,False,I don't know,,,No,,,,True,"Strangers away from the home, Familiar dogs in the home, Unfamiliar dogs away from the home, Unfamiliar dogs in the home",True,"Fear of other dogs, Separation anxiety, Travel anxiety",False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,d9064a0e3fb6de8add3a6a1694386d23,,, ,5/15/2020 17:13:51,f3l756gyzm0tlm9ss7hhxlf3l756gy1c
Cleo,Female,Yes,114.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,"Unfamiliar dogs in the home, Unfamiliar dogs away from the home",True,Fear of thunderstorms,False,,False,,False,,False,,False,,,,False,,True,Impulsiveness,False,,True,"Returns home after escape, Escapes from home",False,,False,e433eb53c23affcc3e4e2256fd59ba87,We have submissions for:,,", ",5/15/2020 17:13:51,2dwduppl5zxdm588b32dwduppcawdins
Dolly,Female,Yes,36.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,6 to 18 months (adolescence),False,,True,"Fear of noises, Fear of thunderstorms",True,"Owners, Familiar people",True,"At triggers (inside), At triggers (outside), Owners are present, Owners are away",False,,True,"Licking of the wrist/hock, Tail chasing, She sleeps on our bed and often wants a tummy rub or other scratch; when I stop, she butts my hand with her nose repeatedly until I give in to her demand. ",True,Exited/overwhelmed,Urine,Anywhere,False,,True,"Impulsiveness, Easily distracted",False,,False,,False,,True,bb280d25ec0235dd5481e23f162d8bcb,,, ,5/15/2020 17:23:38,ivzni5u5bdeooz2hpivznivwmfacbhks
Ben,Male,Yes,45.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,False,,True,Fear of other dogs,False,,False,,False,,False,,True,"Owners are present, Owners are away",Urine,Specific locations,False,,False,,False,,False,,False,,False,cda4a3f11b516f6923b5a6710f0e8eee,We have submissions for:,,", ",5/15/2020 17:15:06,udwttp7i71jud96s0kp2vtx4a3qwl96s
Foxtrot,Female,Yes,152.0,True,No,,,No,,,,True,Familiar dogs in the home,True,Fear of veterinary visits,True,"Owners, Familiar people, Stangers",False,,True,"Dog feces other than their own, The feces of other animals",True,Shadow/light chasing,False,,,,True,Dead stuff,False,,False,,False,,False,,True,335205862e9eb1354940bd9f53aebcd8,,, ,5/15/2020 17:16:52,kzyy9qjiyrx164uu1xkzyypncu5oj0zc
Watson,Male,Yes,35.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"6 to 18 months (adolescence), Continue to practice and use training skills in home",True,Familiar dogs in the home,True,strangers invading his face space,True,"Owners, Familiar people",False,,True,The feces of other animals,False,,False,,,,True,Dead stuff,False,,False,,False,,False,,False,0ca0e46ff442269a449e23b7e3422ec7,We have submissions for:,,", ",5/15/2020 17:16:22,a2h43r7q9eobxbasa2h43r6zjv0s40su
Gozer,Male,Yes,24.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,31b0193a7380c97d5fb1823211abc78b,,, ,5/15/2020 17:14:08,2ascqorxlinjkti2nvon2ascq150hq1h
Cooper,Male,Yes,130.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,True,"Fear of noises, Fear of thunderstorms, Separation anxiety, Fear of veterinary visits",False,,False,,False,,True,"Collecting/arranging objects, intact male - masturbating  also picks at one particular blanket",False,,,,True,Dead stuff,False,,False,,False,,False,,False,f2dbd27257fb4cf12444dab016765223,,, ,5/15/2020 17:19:15,dvotxlts38lcdvoyqdmo8xhaaayqw0nr
Tia,Female,Yes,65.0,False,No,,,Yes,Reward based,"Hired in home private trainer, Myself/family member attended group classes","18-36 months (social maturity), Continue to practice and use training skills in home",True,"Strangers visiting the home, Strangers away from the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs, Veterinarians, Trainers",True,"Fear of crowds, Fear of veterinary visits, Fear of noises, Fear of other dogs, Fear of animals other than dogs, Travel anxiety, Generalized anxiety",True,Familiar people,True,"At triggers (inside), At triggers (outside), To get attention",True,"Their own feces, The feces of other animals",False,,False,,,,False,,False,,True,Owner is away,True,Escaped when out,False,,,5a0aafa77398cb121a072af38809d319,,, ,5/15/2020 17:22:15,8g681kgwbd9tmdq2yzf8g681jvisrlm8
Brodee,Male,Yes,60.0,False,No,,,No,,,,True,Unfamiliar dogs in the home,True,Travel anxiety,True,"Owners, Familiar people, Stangers",False,,True,Dog feces other than their own,False,,False,,,,False,,False,,False,,True,"Escaped when out, Returns home after escape",False,,True,31b0193a7380c97d5fb1823211abc78b,We have submissions for:,,", ",5/15/2020 17:17:21,lexllhtdl4apfynsgf4a4lexllhphnjo
Levi,Male,Yes,138.0,True,Yes,Reward based,Myself/family member attended group classes,No,,,,False,,False,,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,e3bc933416105156ee05709fceb2af9a,,, ,5/15/2020 17:16:46,6x0ogimlidone3zzniq6x0ogo211dzo9
River,Female,Yes,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0c85ab9c6e97fd52f0e8f8e2b60e6e46,,, ,5/15/2020 17:15:37,nawb379nemosuclnlh25gf37e0puatmd
Whisper,Female,Yes,111.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,True,Fear of getting hit/bumped,False,,False,,True,"Their own feces, Dog feces other than their own, The feces of other animals",True,"Spinning, Shadow/light chasing",True,"Owners are away, Owners are present",Urine,Anywhere,False,,False,,False,,True,Escaped when out,False,,True,0c85ab9c6e97fd52f0e8f8e2b60e6e46,We have submissions for:,,", ",5/15/2020 17:20:05,eu5dlkhy47fmkn6aeceu5dlk0hdig8lf
